이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
배영섭,-0.11,30,80,71,5,16,1,0,0,17,7,2,0,6,2,0,15,0,0,1,0.225,0.3,0.239,0.539,0.267,54.8,0.4,SSG,2019,LF,
이원석,-0.11,13,9,6,3,0,0,0,0,0,0,2,0,2,1,0,5,0,0,0,0.0,0.333,0.0,0.333,0.244,39.0,0.04,한화,2019,CF,
김종민,-0.11,26,35,32,2,7,0,0,0,7,1,0,1,2,1,0,3,0,0,0,0.219,0.286,0.219,0.505,0.251,32.1,-0.47,kt,2015,C,3800.0
이병규,-0.11,8,22,19,1,3,2,0,0,5,0,0,0,2,1,0,7,1,0,0,0.158,0.273,0.263,0.536,0.262,52.5,-0.27,롯데,2019,DH,5000.0
권혁경,-0.11,5,18,18,1,4,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0.222,0.222,0.222,0.444,0.213,13.9,-0.27,KIA,2021,C,3200.0
정병곤,-0.11,74,82,74,16,16,0,0,2,22,7,1,0,4,2,0,21,3,2,0,0.216,0.275,0.297,0.572,0.259,40.7,0.08,삼성,2017,SS,4500.0
최정민,-0.12,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-127.3,-0.19,KIA,2019,2B,3500.0
김사연,-0.12,38,48,45,11,9,4,0,1,16,5,1,1,3,0,0,13,2,0,0,0.2,0.25,0.356,0.606,0.264,41.8,0.28,,2018,RF,
황대인,-0.12,12,28,25,0,5,2,0,0,7,0,0,0,1,2,0,8,0,0,0,0.2,0.286,0.28,0.566,0.275,59.0,-0.2,KIA,2019,1B,3000.0
배정대,-0.12,65,55,50,10,13,1,0,0,14,3,2,1,4,0,0,18,0,1,0,0.26,0.315,0.28,0.595,0.283,48.6,0.08,kt,2016,CF,
유준규,-0.12,7,16,14,3,3,0,0,0,3,0,0,0,1,0,0,6,0,1,0,0.214,0.267,0.214,0.481,0.222,26.3,-0.17,,2022,DH,
정기훈,-0.12,29,36,31,9,5,2,0,0,7,2,0,1,3,2,0,15,0,0,0,0.161,0.278,0.226,0.504,0.254,41.7,-0.34,한화,2020,3B,3200.0
김민수,-0.12,17,26,23,3,4,0,0,0,4,1,0,0,2,0,0,6,0,1,0,0.174,0.24,0.174,0.414,0.201,7.0,-0.23,삼성,2020,C,4300.0
고종욱,-0.12,88,199,180,25,48,5,0,2,59,18,2,3,16,0,0,30,6,1,2,0.267,0.323,0.328,0.651,0.311,80.0,0.0,SSG,2021,LF,
박한결,-0.12,9,11,11,0,2,0,0,0,2,0,0,1,0,0,0,4,1,0,0,0.182,0.182,0.182,0.364,0.172,-6.7,-0.27,한화,2019,SS,3000.0
양성우,-0.12,73,236,209,32,53,9,0,2,68,13,1,1,22,4,2,32,8,0,1,0.254,0.335,0.325,0.66,0.304,69.8,-0.19,한화,2018,LF,
유서준,-0.12,17,13,12,5,1,0,0,0,1,0,3,1,1,0,0,3,1,0,0,0.083,0.154,0.083,0.237,0.128,-45.6,-0.09,SSG,2015,2B,2900.0
국해성,-0.12,4,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.125,0.25,0.12,-47.3,-0.11,두산,2021,RF,
이지찬,-0.12,34,42,39,4,9,2,0,0,11,4,2,0,2,0,0,6,2,1,0,0.231,0.268,0.282,0.55,0.251,32.8,-0.58,kt,2015,3B,2800.0
박철우,-0.12,19,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-132.4,-0.02,SSG,2015,3B,
안주형,-0.12,10,10,10,0,3,1,0,0,4,2,1,1,0,0,0,1,0,0,0,0.3,0.3,0.4,0.7,0.311,77.1,-0.01,삼성,2017,2B,3100.0
김진곤,-0.12,13,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.25,0.118,-57.6,-0.18,kt,2016,XX,3000.0
오준혁,-0.12,47,67,61,3,14,2,0,0,16,6,0,0,5,0,0,15,4,1,0,0.23,0.288,0.262,0.55,0.262,55.6,-0.54,SSG,2022,RF,
김기현,-0.12,14,17,16,3,3,1,0,0,4,0,0,0,1,0,0,6,0,0,0,0.188,0.235,0.25,0.485,0.23,17.3,-0.29,SSG,2016,XX,
장승현,-0.12,60,109,96,6,20,3,0,0,23,9,0,0,5,4,0,27,2,3,1,0.208,0.274,0.24,0.513,0.244,43.8,-0.69,두산,2022,C,7800.0
김재현,-0.12,59,71,65,7,17,3,0,1,23,6,0,0,2,1,0,15,1,2,1,0.262,0.29,0.354,0.644,0.283,55.3,-0.62,키움,2015,C,4400.0
박광열,-0.12,59,66,63,5,12,7,1,1,24,1,0,0,2,0,0,18,3,1,0,0.19,0.215,0.381,0.596,0.25,37.4,-0.63,NC,2017,C,3600.0
장준원,-0.12,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-132.7,0.0,LG,2017,SS,3400.0
김민준,-0.12,12,5,4,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0.0,0.2,0.0,0.2,0.0,-128.1,-0.17,키움,2017,CF,
신종길,-0.12,64,90,83,13,20,5,1,1,30,10,2,1,3,2,0,13,1,0,2,0.241,0.278,0.361,0.639,0.283,56.9,-0.73,KIA,2017,XX,0.0
고영우,-0.12,22,32,31,2,7,0,1,0,9,3,0,1,0,1,0,8,1,0,0,0.226,0.25,0.29,0.54,0.252,42.4,-0.08,,2019,3B,
김주형,-0.12,6,8,8,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.125,0.125,0.125,0.25,0.115,-54.6,-0.04,KIA,2018,3B,4500.0
홍현빈,-0.13,8,6,6,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,-132.7,-0.09,kt,2017,CF,2900.0
이정훈,-0.13,6,10,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0.0,0.2,0.0,0.2,0.144,-26.1,-0.22,kt,2022,DH,2700.0
나경민,-0.13,97,129,117,37,30,5,2,1,42,11,20,3,7,2,0,37,1,2,1,0.256,0.307,0.359,0.666,0.297,65.4,-0.06,롯데,2017,CF,5800.0
이대형,-0.13,100,366,337,51,90,8,3,0,104,24,23,4,24,0,1,54,8,4,1,0.267,0.315,0.309,0.624,0.287,57.3,-0.75,kt,2017,LF,20000.0
김규남,-0.13,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,-124.0,-0.09,SSG,2022,RF,
김수환,-0.13,9,12,11,1,2,1,0,0,3,2,0,0,1,0,0,5,1,0,0,0.182,0.25,0.273,0.523,0.247,37.2,-0.45,키움,2020,1B,2700.0
허정협,-0.13,37,77,68,3,16,1,0,0,17,8,0,0,7,1,0,19,1,0,1,0.235,0.312,0.25,0.562,0.277,61.9,-0.34,키움,2019,LF,3500.0
김준완,-0.13,111,398,317,43,60,10,2,1,77,28,1,1,64,8,0,71,4,6,3,0.189,0.337,0.243,0.58,0.288,74.9,-0.86,키움,2022,LF,5000.0
윤여운,-0.13,44,79,73,8,14,6,0,1,23,8,0,0,5,0,0,21,1,1,0,0.192,0.244,0.315,0.559,0.245,32.0,-0.25,NC,2018,C,
이정식,-0.13,7,9,8,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0.0,0.111,0.0,0.111,0.086,-77.7,-0.11,삼성,2016,C,
주효상,-0.13,18,30,29,3,6,2,1,0,10,5,0,0,1,0,0,7,0,0,0,0.207,0.233,0.345,0.578,0.261,46.2,0.0,키움,2019,C,4000.0
양종민,-0.13,32,18,16,6,2,0,0,1,5,2,0,1,2,0,0,5,0,0,0,0.125,0.222,0.313,0.535,0.24,39.8,-0.09,두산,2015,2B,
최보성,-0.13,10,14,12,0,3,0,0,0,3,1,0,1,0,1,0,5,0,1,0,0.25,0.308,0.25,0.558,0.26,48.3,0.22,NC,2021,3B,3200.0
오영수,-0.13,3,8,8,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.125,0.125,0.125,0.25,0.118,-47.9,-0.05,NC,2019,DH,2900.0
양승혁,-0.13,11,5,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-124.0,-0.03,kt,2022,2B,2700.0
이정훈,-0.13,6,10,8,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0.0,0.2,0.0,0.2,0.144,-26.1,-0.22,KIA,2022,DH,4000.0
백승민,-0.13,7,12,9,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0.0,0.25,0.0,0.25,0.188,-4.1,0.02,삼성,2020,1B,4700.0
박준서,-0.13,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,-132.4,-0.1,롯데,2015,2B,
오선진,-0.13,93,222,197,17,46,4,0,2,56,17,0,1,16,3,0,39,10,6,0,0.234,0.301,0.284,0.585,0.274,55.6,-1.03,한화,2020,SS,10500.0
김재현,-0.13,56,88,82,4,17,4,0,1,24,8,0,0,2,1,0,19,3,2,1,0.207,0.233,0.293,0.525,0.237,40.2,-0.66,키움,2022,C,6500.0
박승욱,-0.13,100,228,198,29,45,7,2,1,59,16,8,2,16,2,0,69,1,12,0,0.227,0.292,0.298,0.59,0.266,55.6,-0.61,롯데,2022,SS,3000.0
황경태,-0.13,27,13,13,9,3,2,0,0,5,0,0,1,0,0,0,3,0,0,0,0.231,0.231,0.385,0.615,0.262,44.5,-0.23,두산,2018,3B,3100.0
김재율,-0.13,4,9,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,0.105,-56.1,-0.18,LG,2019,3B,
나성용,-0.13,6,13,12,1,2,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0.167,0.231,0.167,0.397,0.203,-1.7,-0.26,삼성,2016,DH,0.0
정의윤,-0.13,62,178,165,21,38,2,0,7,61,24,0,0,11,0,1,37,5,0,2,0.23,0.275,0.37,0.645,0.295,67.3,-0.04,SSG,2021,LF,
박준태,-0.13,51,88,66,15,11,2,1,0,15,4,2,1,13,6,0,20,0,3,0,0.167,0.353,0.227,0.58,0.292,59.5,-0.48,KIA,2015,CF,3400.0
장준원,-0.13,14,15,13,2,1,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0.077,0.2,0.077,0.277,0.162,-27.7,-0.04,LG,2016,SS,3200.0
안치홍,-0.13,10,43,36,3,8,2,0,0,10,1,0,0,5,0,0,8,2,1,1,0.222,0.31,0.278,0.587,0.278,46.4,-0.4,KIA,2016,2B,22000.0
문성주,-0.13,31,89,79,11,18,1,0,1,22,10,1,1,7,2,0,15,1,0,1,0.228,0.303,0.278,0.582,0.286,65.3,-0.68,LG,2021,LF,4200.0
공민규,-0.14,15,22,19,0,3,0,0,0,3,2,0,0,1,1,0,10,0,0,1,0.158,0.227,0.158,0.385,0.195,10.6,-0.22,삼성,2022,1B,4000.0
김성욱,-0.14,104,225,195,32,43,4,1,8,73,26,12,5,17,4,0,40,0,7,2,0.221,0.294,0.374,0.668,0.295,65.5,-0.13,NC,2020,RF,
추재현,-0.14,33,66,58,10,13,4,0,0,17,5,1,0,7,1,0,17,1,0,0,0.224,0.318,0.293,0.611,0.296,75.8,-0.53,롯데,2022,RF,
장승현,-0.14,35,46,41,3,7,2,0,0,9,3,0,0,3,1,0,13,0,0,1,0.171,0.239,0.22,0.459,0.223,26.1,-0.2,두산,2019,C,3500.0
윤동희,-0.14,4,13,13,1,2,1,0,0,3,1,0,0,0,0,0,2,1,0,0,0.154,0.154,0.231,0.385,0.174,-7.5,-0.25,롯데,2022,1B,3000.0
조중근,-0.14,25,39,36,4,8,0,0,1,11,2,0,0,3,0,1,6,1,0,0,0.222,0.282,0.306,0.588,0.261,40.2,-0.58,kt,2015,1B,
국해성,-0.14,46,94,86,10,20,1,0,3,30,17,1,1,6,1,2,21,2,0,1,0.233,0.287,0.349,0.636,0.282,64.4,-0.04,두산,2020,RF,5000.0
한석현,-0.14,6,10,9,1,2,0,0,0,2,0,0,1,0,0,0,3,0,1,0,0.222,0.222,0.222,0.444,0.189,4.8,-0.21,LG,2022,RF,
김호재,-0.14,10,7,6,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0.167,0.167,0.167,0.333,0.131,-42.7,-0.09,삼성,2018,SS,
박승규,-0.14,14,23,21,2,4,0,0,0,4,2,1,1,2,0,0,7,0,0,0,0.19,0.261,0.19,0.451,0.227,28.5,-0.08,삼성,2019,CF,3200.0
장민석,-0.14,53,63,53,15,10,2,0,0,12,4,0,1,7,1,0,13,0,1,1,0.189,0.29,0.226,0.517,0.253,36.4,-0.05,두산,2015,RF,
주효상,-0.14,63,101,84,6,16,4,0,0,20,7,0,0,13,0,0,26,0,3,1,0.19,0.296,0.238,0.534,0.257,43.7,0.07,키움,2020,C,4300.0
윤진호,-0.14,30,13,12,3,1,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0.083,0.083,0.083,0.167,0.072,-85.0,0.08,LG,2015,3B,3300.0
정진기,-0.14,13,17,16,1,3,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0.188,0.235,0.188,0.423,0.209,15.6,-0.13,SSG,2019,RF,4600.0
이종환,-0.14,31,33,29,3,8,1,0,0,9,4,0,0,3,0,2,10,1,0,1,0.276,0.333,0.31,0.644,0.278,47.9,-0.28,한화,2016,XX,0.0
박찬도,-0.14,54,82,73,13,17,4,1,0,23,5,3,3,8,0,0,28,0,1,0,0.233,0.309,0.315,0.624,0.285,59.2,0.09,삼성,2018,RF,
김민식,-0.14,53,116,96,6,16,2,0,0,18,14,2,0,15,3,0,29,1,0,2,0.167,0.293,0.188,0.481,0.249,42.3,-0.23,KIA,2019,C,8800.0
남태혁,-0.14,7,11,11,0,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0.182,0.182,0.182,0.364,0.167,-21.8,-0.15,,2018,XX,
고명준,-0.14,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,-126.4,-0.23,SSG,2021,DH,
최희섭,-0.14,42,149,125,18,32,3,0,6,53,20,0,0,22,1,0,34,2,0,1,0.256,0.369,0.424,0.793,0.361,105.8,-0.02,KIA,2015,DH,
김호재,-0.14,87,90,75,9,17,2,0,0,19,7,0,0,9,2,0,14,0,3,1,0.227,0.322,0.253,0.575,0.28,60.2,-0.15,삼성,2021,1B,7000.0
채태인,-0.14,124,417,370,29,106,14,3,7,147,72,0,1,36,2,1,92,13,0,9,0.286,0.345,0.397,0.743,0.339,84.1,1.79,키움,2016,1B,30000.0
성의준,-0.14,11,8,6,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0.0,0.143,0.0,0.143,0.091,-71.8,-0.06,삼성,2017,3B,
최상민,-0.14,27,18,14,3,1,0,0,0,1,1,3,1,3,0,0,4,0,1,0,0.071,0.235,0.071,0.307,0.172,-7.0,0.27,SSG,2022,LF,
박찬도,-0.15,51,116,96,20,21,5,0,1,29,8,5,1,15,1,1,22,2,2,2,0.219,0.325,0.302,0.627,0.292,65.2,-0.62,삼성,2020,LF,
이해창,-0.15,83,174,162,19,35,4,0,8,63,24,0,3,8,3,0,49,3,1,0,0.216,0.266,0.389,0.655,0.282,54.5,-0.69,,2018,C,
임병욱,-0.15,40,52,43,13,8,1,1,1,14,3,2,4,9,0,0,23,1,0,0,0.186,0.327,0.326,0.653,0.309,73.6,-0.17,키움,2015,DH,4000.0
김웅빈,-0.15,67,142,135,18,34,8,0,3,51,19,0,0,6,1,0,33,3,0,0,0.252,0.289,0.378,0.667,0.297,66.1,0.05,키움,2017,1B,
오윤석,-0.15,13,13,12,3,2,0,0,0,2,0,0,0,1,0,0,5,1,0,0,0.167,0.231,0.167,0.397,0.197,-0.8,-0.25,롯데,2018,3B,2700.0
이태훈,-0.15,10,18,17,2,3,0,0,0,3,0,0,0,1,0,0,6,0,0,0,0.176,0.222,0.176,0.399,0.197,11.3,0.09,삼성,2022,DH,3500.0
강민국,-0.15,24,26,23,2,3,1,0,1,7,1,0,0,2,0,0,9,1,1,0,0.13,0.2,0.304,0.504,0.216,7.9,-0.13,NC,2016,SS,
주효상,-0.15,12,19,18,3,4,1,0,0,5,3,0,0,1,0,0,9,0,0,0,0.222,0.263,0.278,0.541,0.255,29.2,0.05,키움,2016,C,3000.0
최병연,-0.15,12,9,8,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0.111,0.0,0.111,0.083,-79.5,-0.22,KIA,2016,SS,3300.0
김민수,-0.15,29,41,39,5,8,1,0,0,9,2,0,0,1,0,0,16,0,0,1,0.205,0.22,0.231,0.45,0.211,17.3,-0.59,삼성,2019,C,4300.0
국해성,-0.15,57,96,86,15,18,3,0,3,30,17,0,0,5,4,0,23,2,0,1,0.209,0.281,0.349,0.63,0.284,62.8,-0.21,두산,2017,RF,5000.0
최재원,-0.15,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,-126.0,-0.07,LG,2020,CF,
김사연,-0.15,20,63,56,6,14,1,0,0,15,4,1,2,7,0,0,10,3,0,0,0.25,0.333,0.268,0.601,0.298,58.8,-0.28,kt,2016,RF,4000.0
안주형,-0.15,15,8,8,2,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0.25,0.25,0.25,0.5,0.23,23.7,-0.16,삼성,2018,2B,
최승민,-0.15,48,34,31,8,7,1,0,0,8,1,4,3,1,0,0,7,0,2,0,0.226,0.25,0.258,0.508,0.23,27.3,-0.18,NC,2021,CF,3300.0
나종덕,-0.15,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-132.7,-0.01,롯데,2017,C,2800.0
김민준,-0.15,12,5,4,4,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,-126.0,0.12,SSG,2020,LF,
김영환,-0.15,12,12,12,2,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0.167,0.167,0.167,0.333,0.157,-32.5,0.01,kt,2016,XX,
황윤호,-0.15,36,17,15,8,2,0,1,0,4,0,0,0,1,1,0,4,0,0,0,0.133,0.235,0.267,0.502,0.233,33.7,-0.14,NC,2017,2B,
모창민,-0.15,3,6,5,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0,0.167,0.0,0.167,0.123,-46.3,-0.15,NC,2021,1B,
홍성흔,-0.15,17,45,40,4,10,2,0,0,12,5,0,1,5,0,0,9,3,0,0,0.25,0.333,0.3,0.633,0.307,65.7,-0.16,두산,2016,DH,
예진원,-0.16,5,7,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.143,0.143,0.143,0.286,0.131,-43.5,-0.15,키움,2018,CF,2700.0
박주홍,-0.16,13,25,24,0,6,2,0,0,8,1,0,1,1,0,0,10,0,0,0,0.25,0.28,0.333,0.613,0.283,60.9,-0.15,키움,2020,DH,2700.0
김지수,-0.16,6,7,7,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,-133.8,-0.25,롯데,2016,CF,
윤병호,-0.16,9,9,9,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.111,0.111,0.111,0.222,0.104,-62.4,-0.05,NC,2015,RF,2900.0
장준원,-0.16,20,26,24,2,5,0,0,0,5,1,0,0,1,0,0,8,0,0,1,0.208,0.231,0.208,0.439,0.208,4.7,-0.45,LG,2015,SS,3000.0
김재현,-0.16,14,4,4,3,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-132.7,-0.01,SSG,2017,LF,5100.0
이현석,-0.16,9,15,15,0,2,0,0,0,2,1,0,0,0,0,0,5,1,0,0,0.133,0.133,0.133,0.267,0.126,-37.8,-0.31,SSG,2022,C,
정민규,-0.16,6,17,16,1,2,1,0,0,3,0,0,0,1,0,0,6,1,0,0,0.125,0.177,0.188,0.364,0.178,-7.8,-0.21,한화,2021,3B,3100.0
손시헌,-0.16,67,150,128,12,24,4,0,2,34,14,2,0,15,5,0,20,3,1,1,0.188,0.295,0.266,0.561,0.266,45.2,-0.22,NC,2018,SS,50000.0
허관회,-0.16,28,79,63,4,12,0,0,0,12,2,0,0,13,1,0,22,1,0,2,0.19,0.329,0.19,0.52,0.277,58.2,-0.57,한화,2021,C,3370.0
김인환,-0.16,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.02,한화,2018,XX,3000.0
김호재,-0.16,28,33,32,1,7,1,0,0,8,0,0,1,1,0,0,7,1,0,0,0.219,0.242,0.25,0.492,0.234,32.4,-0.07,삼성,2019,2B,4000.0
정진기,-0.16,88,206,193,27,43,8,0,6,69,21,6,3,10,1,0,39,2,2,0,0.223,0.265,0.358,0.622,0.286,62.1,-0.26,SSG,2021,NLF,
용덕한,-0.16,88,116,104,16,22,3,0,2,31,7,0,0,8,1,0,21,5,2,1,0.212,0.272,0.298,0.57,0.262,38.4,-0.63,NC,2016,C,
최윤석,-0.16,11,17,16,2,2,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0.125,0.177,0.125,0.302,0.155,-33.4,-0.21,한화,2016,SS,5200.0
김시앙,-0.16,13,14,12,1,1,0,0,0,1,0,0,0,1,0,0,8,1,1,0,0.083,0.154,0.083,0.237,0.119,-41.0,-0.17,키움,2022,C,
장운호,-0.16,24,29,27,5,4,1,0,1,8,4,0,0,2,0,0,9,0,0,0,0.148,0.207,0.296,0.503,0.228,24.0,0.06,한화,2020,RF,3800.0
장영석,-0.16,6,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.125,0.125,0.125,0.25,0.117,-54.1,-0.17,키움,2015,3B,3300.0
강경학,-0.16,59,93,84,17,18,2,1,0,22,4,1,1,8,1,0,19,1,0,0,0.214,0.29,0.262,0.552,0.264,44.1,-0.81,한화,2017,2B,5800.0
이흥련,-0.16,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,-130.7,-0.07,두산,2018,C,
김민수,-0.16,10,19,17,0,3,0,0,0,3,0,0,0,1,0,0,9,0,1,0,0.176,0.222,0.176,0.399,0.185,-9.1,-0.27,롯데,2017,3B,
송성문,-0.16,103,335,308,33,70,12,5,3,101,34,2,1,19,0,0,53,7,4,4,0.227,0.269,0.328,0.597,0.272,57.6,-1.76,키움,2019,3B,
김민혁,-0.16,108,249,222,35,53,5,2,5,77,25,8,4,22,2,0,42,4,2,1,0.239,0.312,0.347,0.659,0.304,73.1,0.86,두산,2020,LF,3400.0
이호연,-0.16,88,222,205,20,50,10,1,2,68,16,3,1,11,2,1,38,5,4,0,0.244,0.289,0.332,0.621,0.283,67.7,-1.79,롯데,2022,3B,3000.0
김민혁,-0.16,108,249,222,35,53,5,2,5,77,25,8,4,22,2,0,42,4,2,1,0.239,0.312,0.347,0.659,0.304,73.1,0.86,kt,2020,LF,9000.0
김동명,-0.16,11,12,11,2,1,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0.091,0.167,0.091,0.258,0.137,-41.0,-0.16,,2018,RF,
박광열,-0.17,27,30,25,3,4,0,0,0,4,1,0,0,4,0,0,9,0,1,0,0.16,0.276,0.16,0.436,0.219,15.4,-0.35,NC,2018,C,
이시원,-0.17,28,50,46,6,11,1,0,1,15,2,0,1,3,1,0,8,1,0,0,0.239,0.3,0.326,0.626,0.286,57.6,-0.33,한화,2018,LF,
김민수,-0.17,13,22,21,2,3,1,0,0,4,3,0,0,1,0,0,8,0,0,0,0.143,0.182,0.19,0.372,0.175,-14.7,-0.15,삼성,2017,C,3300.0
황목치승,-0.17,45,34,29,14,6,0,0,0,6,3,2,0,1,1,0,6,0,2,1,0.207,0.25,0.207,0.457,0.207,5.7,-0.22,LG,2017,SS,
김인태,-0.17,14,19,18,0,3,1,0,0,4,3,0,0,1,0,0,4,0,0,0,0.167,0.211,0.222,0.433,0.206,-0.1,-0.4,두산,2016,LF,3000.0
강로한,-0.17,21,35,33,7,4,0,0,2,10,4,0,0,2,0,0,18,0,0,0,0.121,0.171,0.303,0.475,0.215,15.3,0.06,롯데,2021,CF,
송호정,-0.17,10,11,10,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0.0,0.091,0.0,0.091,0.067,-82.3,-0.16,한화,2021,SS,3100.0
이홍구,-0.17,49,96,84,5,16,2,0,3,27,8,0,0,6,3,0,26,3,2,1,0.19,0.266,0.321,0.587,0.266,47.1,-0.55,SSG,2020,KC,
서호철,-0.17,89,214,195,26,40,8,0,2,54,14,3,1,12,4,0,41,6,3,0,0.205,0.265,0.277,0.542,0.255,52.0,-1.68,NC,2022,2B,3000.0
황윤호,-0.17,33,12,12,7,1,0,0,0,1,2,1,0,0,0,0,5,0,0,0,0.083,0.083,0.083,0.167,0.079,-81.4,-0.25,NC,2016,3B,3000.0
허도환,-0.17,61,106,91,8,16,7,0,1,26,6,0,0,7,5,0,29,3,3,0,0.176,0.272,0.286,0.558,0.257,35.9,-0.86,한화,2015,C,7500.0
유선정,-0.17,17,27,25,1,6,0,0,0,6,2,0,0,2,0,0,5,1,0,0,0.24,0.296,0.24,0.536,0.262,42.6,-0.13,키움,2015,C,0.0
김민식,-0.17,23,26,24,4,4,0,0,0,4,0,0,0,2,0,0,2,2,0,0,0.167,0.231,0.167,0.397,0.2,2.6,-0.64,SSG,2015,C,3000.0
박한결,-0.17,13,24,20,5,3,0,0,0,3,1,0,0,2,0,0,8,2,2,0,0.15,0.227,0.15,0.377,0.179,-7.3,-0.44,한화,2020,SS,3100.0
김민수,-0.17,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-126.4,-0.06,NC,2021,XX,
김지수,-0.17,14,26,25,2,4,0,0,1,7,4,0,0,1,0,0,7,0,0,0,0.16,0.192,0.28,0.472,0.213,14.6,-0.15,한화,2020,LF,3100.0
백창수,-0.17,16,48,44,4,10,3,0,0,13,3,0,0,0,2,0,18,1,2,0,0.227,0.261,0.295,0.556,0.251,46.8,-0.38,한화,2019,LF,
신진호,-0.17,9,12,12,1,1,1,0,0,2,0,0,0,0,0,0,5,0,0,0,0.083,0.083,0.167,0.25,0.105,-61.9,-0.08,NC,2017,C,2800.0
김준완,-0.17,104,144,124,19,31,2,1,0,35,8,2,2,15,1,0,27,3,2,2,0.25,0.331,0.282,0.613,0.29,63.4,-0.09,NC,2017,CF,
차일목,-0.17,11,25,23,0,4,0,0,0,4,2,0,0,2,0,0,4,1,0,0,0.174,0.24,0.174,0.414,0.208,5.1,-0.83,KIA,2015,C,
고명성,-0.17,30,18,16,4,2,0,0,0,2,0,0,0,2,0,0,7,1,0,0,0.125,0.222,0.125,0.347,0.185,-1.3,-0.19,,2019,SS,
박정음,-0.17,69,17,13,19,0,0,0,0,0,1,4,2,2,1,0,3,1,0,1,0.0,0.177,0.0,0.177,0.132,-38.8,-0.24,키움,2021,LF,
김종민,-0.18,22,24,22,2,3,0,0,0,3,1,0,0,2,0,0,2,1,0,0,0.136,0.208,0.136,0.345,0.177,-14.3,-0.0,NC,2017,C,5300.0
박정권,-0.18,14,31,29,4,5,0,0,2,11,6,0,0,2,0,0,9,0,0,0,0.172,0.226,0.379,0.605,0.256,33.8,-0.11,SSG,2018,1B,40000.0
